year,month,ObsMxT,ObsMnT,MxT461,MnT461,ObsRn,tas,tasmax,tasmin,pr,evspsbl,hfls,hfss,huss,mrro,ps,psl,rlds,rsds,rlus,rlut,rsus,uas,vas,mslpas,tempas,p5_fas,p5_uas,p5_vas,p5_zas,p5thas,p5zhas,p8_fas,p8_uas,p8_vas,p8_zas,p8thas,p8zhas,p500as,p850as,p__fas,p__uas,p__vas,p__zas,p_thas,p_zhas,s500as,s850as,shumas,nina12,nina34,nina4,nina3,wtio,setio,swio,soi,noi,wp,ep,pna,pdo
1972,Sep,31.53333333,24.57,-,-,-,25.2369,29.79693333,22.16896667,6.81304945,3.67E-05,91.75702967,17.775721,0.0180258,4.43E-08,99493.18,100734.0667,399.2475333,185.9962833,448.3003333,231.0263,28.701657,3.0140174,-0.09230391,-0.533466667,-0.280433333,0.077,-0.386266667,-0.8475,0.912966667,186.2408,0.641833333,0.360666667,0.696033333,-0.733466667,0.3386,115.1169,0.626533333,-1.2616,-0.809533333,0.066733333,0.764633333,-0.821866667,-0.509733333,109.2929,0.895433333,0.8401,0.3084,0.465633333,22.12,27.86,28.96,26.35,-,-,-,-2.6,-0.636,-1.29,0.56,0.21,0.17
1972,Oct,32.95806452,24.57096774,-,-,-,24.07709677,30.17680645,19.70232258,2.660010492,4.12E-05,102.9897,30.5212249,0.016295455,7.63E-07,99689.79032,100910.129,384.3194516,223.5842258,441.7473226,259.0751935,35.37478065,0.531123134,-1.206856194,-0.120903226,-0.482677419,0.130548387,-0.540387097,-1.221451613,0.642290323,214.0300323,1.233806452,-0.209,-0.341193548,-1.22583871,-0.205225806,186.2954194,1.415677419,-1.037967742,-0.357645161,-0.236258065,-0.269741935,-0.789903226,0.36416129,192.9405161,0.969806452,0.401580645,0.555032258,-0.033870968,22.56,28.38,29.33,26.8,-,-,-,-2,-2.359,0.19,1.61,-1.5,0.11
1972,Nov,31.95,23.8,-,-,-,21.2432,27.9016,16.02396667,0.816725267,3.65E-05,91.23002667,30.47655,0.012976661,3.46E-07,99978.99667,101234.4333,359.5532667,217.7031467,425.1293667,271.4061,35.34315367,-1.52299961,-2.230079933,0.8781,-0.7334,0.2174,-0.621033333,-0.8268,0.9008,198.1251667,0.8094,-0.436166667,-0.9838,-0.201933333,0.3474,260.0378333,0.383266667,-0.427366667,0.5201,0.390833333,-1.166733333,0.4855,0.273233333,289.6649667,-0.543066667,-0.7486,-0.917033333,-1.197333333,23.4,28.62,29.42,27.12,-,-,-,-0.7,-1.25,0.16,-0.21,0.56,0.57
1972,Dec,31.61935484,21.90322581,-,-,-,21.12687097,28.18087097,15.04454839,0.237698122,2.48E-05,62.07957742,46.92271839,0.011800929,2.28E-08,100038.5032,101300.7742,348.5847419,221.5803871,425.3296452,285.2632581,36.90217742,-1.811929935,-2.192806097,1.567096774,-1.615548387,0.197354839,0.348612903,0.215677419,-0.397677419,138.172871,-0.079709677,-0.423,-0.969612903,-0.047322581,0.284290323,270.236129,0.028129032,-0.202612903,0.679548387,1.138709677,-1.551580645,0.504903226,0.163096774,284.2873548,-0.625451613,-0.865,-1.601903226,-1.884290323,24.69,28.61,29.19,27.5,-,-,-,-2.6,-0.2,0.83,-99.9,-0.56,-0.33
1973,Jan,33.05483871,21.0483871,-,-,-,23.91732258,31.63219355,17.28877419,0.731660663,1.36E-05,33.97019548,73.1825,0.012607128,0,99868.33871,101121.0968,361.529,224.5585065,442.0838065,292.1258387,37.30039355,-1.067486516,-1.467953355,1.193548387,-1.63183871,0.163225806,0.706064516,0.020419355,-0.671193548,98.722,0.294064516,-0.656677419,-0.567,0.221741935,0.172580645,207.1319355,-0.15716129,-1.085225806,0.401419355,0.369193548,-1.131129032,0.503806452,0.493709677,289.1381613,-0.600612903,-1.045516129,-1.14616129,-1.59583871,26.33,28.25,29.12,27.37,-,-,-,-0.8,-2.303,0.8,-0.94,-0.18,-0.46
1973,Feb,34.51428571,23.46071429,-,-,-,25.77878571,33.90314286,18.60892857,0.900818305,9.85E-06,24.6381175,100.0535679,0.014169315,0,99968.58929,101201.0357,374.92025,246.2006786,454.8280714,286.8047857,40.16470714,-1.585693082,0.532198857,1.532,-0.839107143,1.501714286,1.591642857,0.204964286,-0.193178571,99.11317857,-0.133285714,-0.193464286,-1.116928571,0.144107143,0.192035714,284.7473214,-0.2135,-1.896214286,1.001428571,0.71675,-1.324607143,0.529928571,0.77525,289.6184286,-1.006892857,-1.126892857,-1.67975,-1.919392857,26.5,27.98,28.79,27.39,-,-,-,-3.2,-8.273,1.59,1.18,0.12,-0.61
1973,Mar,33.92580645,25.18387097,-,-,-,26.33535484,33.28590323,21.72616129,3.776538175,3.52E-05,88.14929677,53.27942161,0.017916826,0,99717.5871,100946.6774,398.8467742,236.9065097,456.6325806,249.7710645,37.42202516,-0.608693823,2.243775032,-0.082548387,0.314935484,0.472483871,0.737419355,0.333935484,-0.281096774,123.3597742,-0.229903226,-0.82783871,-0.426322581,0.338709677,-0.243903226,231.6728065,0.00283871,-0.792225806,0.391322581,-1.036322581,0.294516129,-0.017903226,0.095096774,83.46645161,-0.408741935,-0.825322581,-0.150774194,-0.004451613,26.15,27.82,28.53,27.37,-,-,-,0.3,2.683,0.73,-1.75,0.85,-0.5
1973,Apr,35.92333333,26.81,-,-,-,26.86206667,33.6537,22.19323333,4.032832262,4.46E-05,111.5388767,42.63152367,0.01897097,0,99541.81,100749.4667,400.0268667,253.8652333,459.2734333,238.0906,39.85595667,-0.05627251,2.300986937,-0.162,0.950366667,-0.302466667,-0.562166667,-0.237233333,-0.243733333,209.8331667,0.435533333,-0.849633333,-0.232333333,0.273733333,0.0143,178.1041667,-0.030666667,0.332166667,0.495566667,-0.480066667,0.5243,-0.147633333,0.458466667,117.4061,-0.232133333,-0.774366667,-0.269666667,0.324633333,24.52,27.53,28.37,26.89,-,-,-,-0.3,3.538,1.24,0.72,0.36,-0.69
1973,May,33.87419355,25.43225806,-,-,-,27.24858065,33.13987097,22.79693548,4.097295282,4.57E-05,114.3085097,38.77778977,0.019082552,0,99468.85806,100689.6452,403.6856129,251.3999355,461.4640645,240.2869355,39.61711935,1.831423839,0.348114151,-0.983935484,0.928064516,-0.363387097,-0.035677419,0.220387097,-0.116967742,138.7117097,-0.351709677,0.180806452,0.699516129,-0.486354839,0.487129032,109.9300323,0.31983871,-0.306774194,-0.81416129,-0.31683871,0.623935484,-0.913451613,0.316258065,112.8426129,0.946548387,0.383677419,0.276580645,0.666580645,23.47,27.26,28.7,26.12,-,-,-,0.4,0.334,0.3,-1.47,0.66,-0.76
1973,Jun,32.76666667,25.91333333,-,-,-,26.4192,32.2135,22.63646667,4.121474458,4.44E-05,111.0354667,24.16762007,0.018754623,0,99444.15667,100667.7667,400.8885667,225.06928,455.9052,232.4958,35.56710333,3.932022,1.309058153,-0.5987,0.079466667,-0.2378,0.311233333,0.008633333,0.196733333,104.6020333,-0.191966667,0.7097,1.087366667,0.2306,-0.349066667,78.34086667,-0.403433333,-0.714433333,-0.7253,-0.466966667,0.654933333,0.147666667,-1.032266667,71.3472,0.209433333,0.909466667,0.394133333,0.766066667,21.51,26.7,28.2,25.34,-,-,-,1.3,1.967,-1.28,-0.77,0.84,-0.97
1973,Jul,32.6483871,25.43548387,-,-,-,27.66241935,34.67551613,22.03367742,1.268120987,3.03E-05,75.90143871,70.14739097,0.017759639,0,99571.60645,100783.3226,393.0653871,260.6836452,464.92,240.7417097,41.48749677,2.819132097,-0.244935884,-0.888193548,-0.029935484,-0.430451613,0.000935484,0.421580645,0.410870968,114.3258387,-0.869258065,1.208322581,1.333806452,0.864,-0.751741935,70.52558065,-0.933580645,-1.223322581,-1.144193548,0.11516129,0.845580645,0.760580645,-1.116548387,60.09051613,-0.198129032,1.181645161,0.164193548,0.70516129,20.75,26.04,28.12,24.39,-,-,-,0.9,0.96,-0.25,-1.09,0.17,-0.57
1973,Aug,32.09677419,25.22258065,-,-,-,27.23290323,34.37948387,22.31748387,2.501185935,2.54E-05,63.47714839,63.08327587,0.018232903,0,99420.59677,100620.4516,399.2405161,224.0267742,462.3101613,226.3862903,35.21239032,2.968960903,-0.240333442,-0.922645161,-0.259935484,0.067612903,-0.050258065,0.192612903,-0.285709677,143.5559355,-0.476419355,1.385870968,1.108967742,0.419612903,-0.79,83.2486129,-0.85483871,-1.173774194,-1.323225806,0.46,0.780870968,0.453064516,-1.339645161,86.90848387,-0.12216129,1.237645161,0.174354839,0.38083871,19.47,25.66,27.84,23.65,-,-,-,1.7,2.282,-0.22,-0.84,-0.92,-1.14
1973,Sep,31.91333333,24.46333333,-,-,-,24.36726667,29.6634,20.22876667,4.674870924,3.11E-05,77.89585033,24.5226615,0.016670743,0,99644.58,100850.7,391.9987333,179.7512867,443.3859333,219.5748333,27.582373,1.86590637,-0.443857293,-0.058666667,-0.2617,-0.001,-0.526433333,-0.951666667,0.783966667,201.2299667,1.062933333,0.760466667,0.381766667,-1.2633,0.171233333,150.9092333,0.8813,-0.403533333,-0.176,0.0539,0.3955,-1.199033333,-0.146266667,170.9019667,0.776833333,0.8079,0.468233333,0.361633333,19.24,25.44,27.55,23.6,-,-,-,2.3,0.876,0.24,0.27,-0.28,-0.51
1973,Oct,32.38709677,23.55483871,-,-,-,24.46264516,32.05316129,18.09641935,0.600813286,3.22E-05,80.50960323,63.82246452,0.014902205,0,99977.4871,101199.9677,371.1681935,256.5246581,444.8060645,275.1604194,40.98133355,-1.224740194,-1.507085797,0.287677419,-0.241967742,-0.136322581,-0.698064516,0.103193548,0.386645161,233.5032903,-0.149774194,-0.530387097,-0.756064516,0.105419355,0.583967742,274.7327097,0.000806452,0.357225806,0.511322581,-0.882709677,-0.423612903,0.084580645,1.03716129,249.1917419,-0.137451613,0.184774194,0.472483871,0.286677419,19.68,25.25,27.25,23.57,-,-,-,1,1.553,0.58,-0.79,-0.82,-0.87
1973,Nov,30.73333333,21.64,-,-,-,24.91836667,32.90546667,17.4041,0.477828907,6.46E-06,16.14666907,92.52516,0.012880186,0,100120.4667,101368.3333,358.1704333,240.7134,449.2966333,283.9053333,39.80988,-2.200875033,-3.680975,1.021,-0.762466667,0.3317,-0.2878,-0.457766667,0.8963,183.2704333,0.4401,-0.018566667,-1.185033333,-0.533533333,0.470733333,261.8052333,0.820133333,0.2212,0.7969,0.617466667,-1.305633333,-0.340166667,0.323333333,269.4795333,0.446266667,-0.589466667,-0.1913,-0.7274,20.71,24.76,27.06,23.47,-,-,-,4.7,0.726,0.27,-0.16,-1.73,-1.81
1973,Dec,30.76774194,18.85806452,-,-,-,24.57883871,32.48225806,17.53748387,0.692824166,6.00E-06,15.01233525,83.19972581,0.012457387,0,100002.029,101260.1613,356.631871,225.4305484,446.7600645,281.2679355,37.80674194,-1.920105594,-2.253351816,1.711483871,-1.088741935,0.671677419,-0.686645161,0.360580645,-0.40816129,232.9581613,-0.089354839,-0.138483871,-1.140967742,0.313677419,-0.008290323,289.3410323,-0.242483871,0.944516129,1.377032258,0.738548387,-1.342709677,0.49983871,0.102870968,287.0371935,-0.481096774,-0.792354839,-0.804387097,-1.054354839,21.61,24.58,26.66,23.55,-,-,-,3.2,0.595,0.56,-99.9,0.53,-0.76
1974,Jan,30.77096774,19.39032258,-,-,-,24.61970968,32.47680645,18.16864516,0.838029446,1.16E-05,28.89093871,78.31808968,0.013233341,0,100120.0548,101370.0968,366.2244194,222.6930645,446.2816452,286.0164516,36.70610323,-2.180265645,-1.081482745,1.692870968,-0.993354839,2.464870968,2.257032258,0.180354839,-0.411741935,81.48964516,-0.011483871,-0.474258065,-0.792193548,0.541,-0.154935484,259.0325806,-0.651580645,-0.163064516,1.297645161,0.888806452,-1.373193548,0.761322581,0.463516129,289.400129,-1.164612903,-0.927806452,-1.159516129,-1.428483871,23.32,24.58,26.61,23.97,-,-,-,4.3,0.56,-2.35,-0.79,-0.69,-1.22
