month,year,miub_echo_g.r3.ps,miub_echo_g.r1.rldscs,miub_echo_g.r3.rldscs,miub_echo_g.r1.rsdscs,miub_echo_g.r2.rsdscs,miub_echo_g.r3.rsdscs,miub_echo_g.r1.rsdt,miub_echo_g.r1.rsut,miub_echo_g.r2.rsut,miub_echo_g.r1.rsutcs,miub_echo_g.r2.rsutcs,miub_echo_g.r3.rsutcs,miub_echo_g.r1.rtmt,miub_echo_g.r2.rtmt,miub_echo_g.r3.rtmt,miub_echo_g.r1.tas,miub_echo_g.r1.tauv,miub_echo_g.r2.trsult,miub_echo_g.r3.trsult,miub_echo_g.r1.vas,miub_echo_g.r3.vas,nina12,nina34,nina4,nina3,wtio,setio,swio,soi,noi,wp,ep,pna,pdo
12,2002,100475.1094,397.1089478,389.7604675,241.0078125,242.0703125,241.2421875,343.5,75.7890625,64.5234375,58.1796875,57.984375,59.09399414,-0.700439453,-12.07226563,-12.42529297,300.574707,-0.172181129,6.056757927,9.15456295,-2.996323586,-3.867620468,23.44,28.09,29.49,26.48,0.32057765,0.5788153,-0.370258443,-2.4,-5.861,0.67,-99.9,1.59,2.1
1,2003,100796.6875,401.2387695,380.3026733,252.6875,249.7265625,250.2734375,354.4396973,63.90063477,99.1875,59.76782227,60.515625,61.0390625,-11.11010742,10.54663086,-5.263916016,303.2011414,-0.015186071,7.65739727,8.462813377,-0.831409454,-2.732886314,24.38,27.76,29.25,26.38,0.201526196,0.365254875,-0.1790862,-0.6,-2.517,0.3,1.85,1.29,2.09
2,2003,100503.7188,403.0219116,400.4980469,277.5234375,280.578125,280.90625,388.4453125,96.1171875,76.902771,64.2265625,64.1293335,63.7734375,45.20654297,34.30932617,27.04711914,303.0811157,-0.060876906,6.611072063,5.469442368,-1.080621719,-0.60412693,25.81,27.49,29.03,26.7,0.337869068,0.388374475,0.45186809,-2,-0.073,0.65,1.17,0.73,1.75
3,2003,100399.8984,420.8099976,406.2516785,307.6363831,306.9718628,308.6192322,422.7099609,75.59562683,83.13505554,67.45655823,67.56837463,68.80711365,55.831604,56.0799408,47.0866394,306.5147705,0.024471581,8.665485382,10.80055809,0.755969048,0.332345963,25.97,27.81,29.03,27.28,0.40215074,0.0685813,0.54336864,-1.6,-0.57,-1,0.64,-0.07,1.51
4,2003,100118.5,438.7131348,435.6225281,318.703125,319.765625,318.390625,440.046875,87.625,109.6328125,69.53125,68.9609375,68.8515625,70.21044922,62.27490234,74.82836914,308.1500244,0.08907932,7.577907085,8.348031044,1.844288826,1.847432137,24.44,27.81,28.96,27.15,0.469112575,0.37310865,0.565202662,-0.7,-2.628,1.5,0.49,0.14,1.18
5,2003,100084.0156,428.0039978,420.7441406,315.90625,317.5703125,316.953125,440.8132324,142.4694824,103.1181641,68.74291992,69.68847656,68.9375,71.39746094,70.07861328,83.43212891,303.0350952,0.054659724,9.769535065,8.687394142,1.666419029,1.351317406,22.49,27.37,28.92,26.14,0.37513786,0.166836453,0.47542908,-1,-0.762,-0.43,-0.45,-2.2,0.89
6,2003,99974.94531,421.8134766,423.9955139,312.046875,312.1015625,313.796875,437.375,196.4765625,188.4245605,68.0703125,67.35424805,66.9453125,61.91064453,57.22070313,58.18676758,300.3754272,0.10933888,7.790015697,5.830295563,2.619939804,2.227809906,21.58,27.48,29.09,25.83,0.658673775,-0.158981468,0.033770175,-1.9,-2.216,0.35,0.27,-0.6,0.68
7,2003,100047.7188,414.4054871,416.381897,315.296875,313.140625,314.8203125,437.03125,172.3671875,223.7507324,66.3046875,66.43823242,66.71533203,55.90258789,23.81811523,60.30786133,298.9336548,0.052251399,6.698132992,5.592594147,1.415381432,1.499213219,20.75,27.43,29.11,25.75,0.35855055,-0.160512608,-0.064695258,0.4,0.286,-2.51,-0.14,1.23,0.96
8,2003,99971.51563,411.9464417,410.6583862,314.4375,315.6328125,314.578125,436.6174316,191.2814941,155.046875,66.67211914,66.6171875,66.609375,40.77856445,66.54638672,44.89526367,298.3990479,0.047138155,4.816493034,5.910274506,1.388245583,1.14440155,20.14,26.85,29.05,25.04,0.149039206,-0.380519378,-0.516347948,-0.5,0.091,-1.11,-2.34,-0.28,0.88
9,2003,100170.5859,406.6912231,410.0305481,306.2851257,304.0516968,304.2672729,425.2184753,105.0778503,144.4553833,67.22888184,66.3697052,66.4486084,84.02587891,41.72779846,48.76728821,300.0753174,-0.020204604,6.836745262,7.020665169,-0.852506638,0.048010826,20,26.96,29.02,24.97,0.352192075,-0.08386305,-0.67703525,-0.2,-1.554,-1.8,-1.33,0.76,0.01
10,2003,100405.75,411.583313,406.9373169,280.0703125,281.3984375,281.453125,396.859375,143.640625,95.40678406,64.0078125,64.48490906,64.375,33.25854492,43.07983398,33.19604492,298.9564209,-0.046252787,10.84436226,10.744277,-1.215696335,-1.838274956,20.99,27.19,29.22,25.33,0.047077303,0.191012375,-0.6636812,-0.5,0.414,-0.73,0.89,0.97,0.83
11,2003,100376.4375,409.7022705,406.2705994,254.53125,255.546875,257.0390625,362.5578613,113.8000488,80.18188477,59.43286133,60.41625977,60.4375,-9.023193359,10.43041992,17.35131836,299.7183533,-0.119585097,9.130592346,8.030691147,-2.379633904,-2.297954559,21.92,27.05,29.31,25.4,0.019430384,0.073914444,-0.19336012,-0.7,-0.763,0.71,0.01,-1.72,0.52
12,2003,100272.1563,396.2353516,408.8649902,242.6875,241.8671875,242.6484375,343.5012207,62.2668457,64.86230469,58.7434082,59.05761719,57.53125,-14.91894531,-4.389404297,-14.96386719,301.7410889,-0.088572502,8.49084568,4.808266163,-1.767305374,-1.515563965,22.99,26.89,29.02,25.56,0.13327085,-0.089159965,-0.036147417,1.8,-1.635,0.91,-99.9,0.86,0.33
1,2004,100583.1016,403.4008789,389.2015686,252.5546875,252.6796875,250.4765625,354.4384766,69.83691406,71.203125,59.82128906,61.046875,60.85473633,3.962158203,5.140869141,-2.113525391,303.9876099,0.00575614,7.209412098,7.817651749,-0.126763344,-1.777163506,24.6,26.74,28.83,25.92,0.12822954,0.366583188,0.14390116,-2.8,-0.554,-0.88,0.48,0.41,0.43
2,2004,100607.125,421.9168396,381.5864258,276.5625,278.546875,281.5234375,388.4453125,111.5742188,81.375,63.33984375,64.3203125,65.13049316,30.17138672,24.61206055,38.19262695,304.7579651,0.016059935,8.228758812,8.277108192,0.35729599,-1.258378983,25.81,26.86,28.59,26.46,0.11054563,0.13145595,0.194981375,1.8,-0.219,1.08,-0.14,1.06,0.48
3,2004,100269.0859,414.0828247,420.1800842,303.156189,305.359375,307.3526917,422.7072449,164.0275574,87.44917297,65.45202637,67.34526062,67.43345642,37.37426758,65.60939026,51.60159302,299.1773682,0.001569629,8.934418678,8.089198112,0.217375755,1.772258759,25.94,27.1,28.43,27.16,0.107237495,-0.297832005,0.26909405,-0.3,5.007,0.26,-1.12,0.3,0.61
4,2004,100292.3906,420.5799561,417.0759888,319.2265625,318.6953125,316.421875,440.0393066,88.98461914,107.2854004,68.57055664,68.78540039,68.79760742,87.64306641,62.05932617,68.06420898,303.3826294,0.031606674,8.098726273,9.149288177,1.075763702,0.667488098,25.32,27.84,28.75,27.37,0.00931678,0.194716545,0.849596025,-2.1,0.078,0.35,1.28,0.51,0.57
5,2004,100199.3359,418.8423462,420.9039917,316.765625,317.859375,317.6640625,440.8125,130.0078125,105.0703125,68.7109375,68.6328125,68.453125,91.5222168,80.42211914,80.15234375,301.0922546,0.04080677,6.994514465,6.796996593,1.387666702,1.194830894,23.05,28.06,29.16,26.72,-0.150646952,0.16783624,0.26915838,1.5,1.529,-0.03,2.3,-1.76,0.88
6,2004,100140.9375,428.6558838,424.4974976,315.171875,313.5859375,314.8125,437.3613281,123.7675781,167.3515625,68.65820313,66.9765625,68.15039063,55.79711914,73.26953125,92.43383789,304.6606445,0.054936051,5.726326942,7.299268723,1.633923531,1.113343239,21.6,27.76,29.17,26.27,-0.318863825,0.09590625,-0.209767918,-2.2,0.547,1.37,2.52,-0.37,0.04
7,2004,100067.4375,416.519043,412.3288574,313.203125,313.546875,314.6171875,437.0275879,220.7307129,195.8762207,66.64477539,66.8449707,66.32324219,35.08032227,48.91772461,37.17333984,298.6148682,0.11553061,7.113421917,5.049361229,2.79459095,2.768110275,20.71,27.69,29.39,25.41,-0.29745664,0.035516466,-0.10853424,-1.2,-1.063,-0.33,0.99,0.09,0.44
8,2004,100243.2188,416.9869385,416.3719482,315.9296875,314.796875,314.375,436.6171875,117.875,189.90625,66.9453125,66.359375,67.0859375,72.17456055,45.67797852,55.86547852,300.37677,0.026748955,4.765930176,6.777823448,0.804536819,0.681621552,19.62,27.54,29.31,25.05,0.009213331,0.063416823,0.34136795,-1.2,-0.766,-0.31,-0.65,1.55,0.85
