year,month,X478002,X478201,X459201,X459203,X459204,X48012,X48032,X48053,X48092,X48172,X48062,X48182,X48121,X9042,X9052,X9062,X9102,X9160,X48160,X48201,X48131,X48100,X48150,X48193,X48241
1974,5,6.622580645,5.741935484,4.125806452,6.048387097,8.029032258,7.638709677,9.287096774,9.406451613,4.577419355,3.112903226,8.790322581,6.325806452,5.796774194,6.077419355,6.248387097,4.038709677,9.767741935,4.774193548,7.141935484,5.593548387,7.325806452,6.316129032,5.858064516,5.741935484,5.387096774
1974,6,1.533333333,2.11,1.71,1.03,1.4,0.5,4.02,0.643333333,0.876666667,1.07,1.573333333,0.766666667,0.876666667,0.86,0.733333333,1.39,2.983333333,1.513333333,1.503333333,1.41,0.616666667,3.64,0.986666667,2.1,1.26
1974,7,2.516129032,2.548387097,4.04516129,2.361290323,1.287096774,2.012903226,4.887096774,1.974193548,1.632258065,1.722580645,2.361290323,1.248387097,2.429032258,3.767741935,3.387096774,6.906451613,2.941935484,3.041935484,2.429032258,4.622580645,9.583870968,3.903225806,4.367741935,2.54516129,2.15483871
1974,8,4.506451613,2.587096774,6.070967742,1.922580645,2.451612903,3.329032258,10.71612903,3.251612903,3.441935484,2.541935484,5.270967742,2.135483871,5.1,3.512903226,1.677419355,5.729032258,2.35483871,5.016129032,5.103225806,5.651612903,5.629032258,3.222580645,2.970967742,2.590322581,3.825806452
1974,9,6.563333333,5.16,7.71,5.34,6.473333333,5.453333333,10.08,6.54,5.193333333,3.866666667,8.816666667,4.74,8.45,5.9,6.076666667,8.286666667,7.083333333,6.786666667,7.236666667,7.3,8.453333333,6.483333333,5.77,5.156666667,6.133333333
1974,10,12.79677419,14.3483871,17.91290323,14.42580645,15.59032258,13.65483871,16.86129032,13.3,8.638709677,9.287096774,14.22258065,10.78064516,13.60645161,18.60645161,17.99354839,15.7,22.05806452,19.36451613,12.3,14.37096774,19.18709677,19.57096774,15.2,14.32903226,13.62580645
1974,11,1.913333333,2.686666667,3.03,1.43,3.546666667,3.743333333,2.68,2.126666667,1.433333333,1.673333333,4.623333333,2.223333333,1.123333333,1.49,0.406666667,3.676666667,1.766666667,2.09,2.44,1.953333333,2.476666667,3.29,1.86,2.69,2.766666667
1974,12,0.183870968,0.04516129,0,0.009677419,0.025806452,0,0.035483871,0,0.212903226,0.019354839,0.019354839,0.009677419,0.696774194,1.14516129,0,0,0,0.048387097,0.138709677,0.15483871,0,0.077419355,0.009677419,0.04516129,0.019354839
1975,1,2.45483871,1.280645161,2.909677419,1.261290323,1.248387097,1.14516129,2.248387097,2.65483871,1.187096774,1.167741935,2.761290323,1.338709677,1.403225806,3.24516129,1.270967742,1.967741935,1.403225806,2.029032258,2.135483871,1.819354839,3.109677419,1.351612903,1.558064516,1.267741935,1.206451613
1975,2,0.003571429,0.853571429,0,0.303571429,0.782142857,0.992857143,0,0.142857143,0.178571429,0.342857143,0.771428571,0.410714286,0.267857143,0,0.017857143,0.110714286,0.375,0.496428571,0.142857143,0.167857143,0.396428571,1.339285714,0.464285714,0.85,0.364285714
